,City,Date,PM2.5,PM10,NO2,CO,SO2,O3
0,Ahmedabad,1/1/2015,67.4506,118.127,18.22,0.92,27.64,133.36
1,Ahmedabad,1/2/2015,67.4506,118.127,15.69,0.97,24.55,34.06
2,Ahmedabad,1/3/2015,67.4506,118.127,19.3,17.4,29.07,30.7
3,Ahmedabad,1/4/2015,67.4506,118.127,18.48,1.7,18.59,36.08
4,Ahmedabad,1/5/2015,67.4506,118.127,21.42,22.1,39.33,39.31
5,Ahmedabad,1/6/2015,67.4506,118.127,38.48,45.41,45.76,46.51
6,Ahmedabad,1/7/2015,67.4506,118.127,40.62,112.16,32.28,33.47
7,Ahmedabad,1/8/2015,67.4506,118.127,36.74,80.87,38.54,31.89
8,Ahmedabad,1/9/2015,67.4506,118.127,31.0,29.16,58.68,25.75
9,Ahmedabad,1/10/2015,67.4506,118.127,7.04,2.2486,8.29,4.55
10,Ahmedabad,1/11/2015,67.4506,118.127,55.8,132.07,25.03,6.79
11,Ahmedabad,1/12/2015,67.4506,118.127,40.67,52.04,51.84,45.89
12,Ahmedabad,1/13/2015,67.4506,118.127,44.2,48.82,68.21,35.16
13,Ahmedabad,1/14/2015,67.4506,118.127,27.86,19.2,52.65,20.96
14,Ahmedabad,1/15/2015,67.4506,118.127,16.96,0.6,28.89,47.63
15,Ahmedabad,1/16/2015,67.4506,118.127,21.72,1.63,38.27,46.03
16,Ahmedabad,1/17/2015,67.4506,118.127,24.73,11.44,49.5,52.24
17,Ahmedabad,1/18/2015,67.4506,118.127,25.77,6.1,48.43,53.49
18,Ahmedabad,1/19/2015,67.4506,118.127,26.88,2.51,50.03,49.48
19,Ahmedabad,1/20/2015,67.4506,118.127,26.8,7.92,58.87,56.37
20,Ahmedabad,1/21/2015,67.4506,118.127,33.56,9.52,106.93,48.75
21,Ahmedabad,1/22/2015,67.4506,118.127,17.51,9.05,23.71,42.22
22,Ahmedabad,1/23/2015,67.4506,118.127,27.96,22.53,39.19,32.92
23,Ahmedabad,1/24/2015,67.4506,118.127,20.39,2.03,40.07,32.49
24,Ahmedabad,1/25/2015,67.4506,118.127,20.43,1.42,58.41,39.26
25,Ahmedabad,1/26/2015,67.4506,118.127,21.16,2.27,43.73,39.83
26,Ahmedabad,1/27/2015,67.4506,118.127,21.7,2.19,43.28,41.1
27,Ahmedabad,1/28/2015,73.24,118.127,21.11,5.72,36.52,62.42
28,Ahmedabad,1/29/2015,83.13,118.127,28.71,6.93,49.52,59.76
29,Ahmedabad,1/30/2015,79.84,118.127,28.68,13.85,48.49,97.07
30,Ahmedabad,1/31/2015,94.52,118.127,32.66,24.39,67.39,111.33
31,Ahmedabad,2/1/2015,135.99,118.127,42.08,43.48,75.23,102.7
32,Ahmedabad,2/2/2015,178.33,118.127,35.31,54.56,55.04,107.38
33,Ahmedabad,2/3/2015,139.7,118.127,28.4,30.61,33.79,73.6
34,Ahmedabad,2/4/2015,80.65,118.127,22.83,2.37,25.73,47.3
35,Ahmedabad,2/5/2015,58.36,118.127,21.39,2.6,32.66,53.54
36,Ahmedabad,2/6/2015,79.29,118.127,26.94,1.16,67.41,59.3
37,Ahmedabad,2/7/2015,88.7,118.127,31.32,7.29,80.09,44.76
38,Ahmedabad,2/8/2015,74.28,118.127,27.3,8.92,54.28,47.42
39,Ahmedabad,2/9/2015,113.93,118.127,24.27,4.32,48.73,39.94
40,Ahmedabad,2/10/2015,105.39,118.127,18.21,1.41,35.91,56.15
41,Ahmedabad,2/11/2015,66.52,118.127,23.8,6.34,66.58,53.14
42,Ahmedabad,2/12/2015,65.04,118.127,30.1,14.19,65.91,31.88
43,Ahmedabad,2/13/2015,103.36,118.127,39.56,18.18,80.43,40.11
44,Ahmedabad,2/14/2015,177.33,118.127,47.58,37.49,99.72,36.47
45,Ahmedabad,2/15/2015,113.25,118.127,30.5,15.55,69.71,33.78
46,Ahmedabad,2/16/2015,99.7,118.127,28.1,19.85,73.23,30.57
47,Ahmedabad,2/17/2015,80.61,118.127,21.04,15.96,54.7,36.2
48,Ahmedabad,2/18/2015,100.79,118.127,25.93,16.24,43.11,37.43
49,Ahmedabad,2/19/2015,107.99,118.127,30.09,11.25,84.86,31.94
50,Ahmedabad,2/20/2015,140.29,118.127,36.14,33.84,101.53,40.98
51,Ahmedabad,2/21/2015,239.96,118.127,46.25,61.95,84.87,33.55
52,Ahmedabad,2/22/2015,142.96,118.127,48.21,45.45,62.96,34.77
53,Ahmedabad,2/23/2015,238.41,118.127,55.07,77.7,89.07,37.3
54,Ahmedabad,2/24/2015,118.72,118.127,32.01,12.56,61.54,38.8
55,Ahmedabad,2/25/2015,52.99,118.127,10.45,2.23,32.76,67.25
56,Ahmedabad,2/26/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
57,Ahmedabad,2/27/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
58,Ahmedabad,2/28/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
59,Ahmedabad,3/1/2015,61.12,118.127,16.81,3.58,28.44,30.48
60,Ahmedabad,3/2/2015,60.78,118.127,18.21,9.07,29.48,34.75
61,Ahmedabad,3/3/2015,91.83,118.127,28.71,12.99,39.71,38.46
62,Ahmedabad,3/4/2015,93.88,118.127,29.38,18.21,62.75,46.79
63,Ahmedabad,3/5/2015,173.01,118.127,42.27,48.44,78.76,59.39
64,Ahmedabad,3/6/2015,67.4506,118.127,28.5607,2.2486,14.532,34.4914
65,Ahmedabad,3/7/2015,105.45,118.127,16.1,2.5,29.29,69.9
66,Ahmedabad,3/8/2015,71.56,118.127,16.83,3.51,30.28,57.16
67,Ahmedabad,3/9/2015,119.8,118.127,24.07,4.13,50.35,50.49
68,Ahmedabad,3/10/2015,106.71,118.127,25.59,5.39,38.85,60.17
69,Ahmedabad,3/11/2015,118.49,118.127,28.94,4.11,54.2,53.61
70,Ahmedabad,3/12/2015,106.01,118.127,27.31,4.28,70.29,40.91
71,Ahmedabad,3/13/2015,97.34,118.127,21.58,3.67,64.39,45.69
72,Ahmedabad,3/14/2015,83.92,118.127,25.03,6.42,67.53,34.94
73,Ahmedabad,3/15/2015,49.51,118.127,14.16,3.1,48.33,37.95
74,Ahmedabad,3/16/2015,30.76,118.127,14.14,2.72,43.62,54.78
75,Ahmedabad,3/17/2015,50.29,118.127,29.84,5.34,59.23,45.44
